ROUTE,DAY,DELAY
ORD-RSW,FRI,2115
ORD-SGF,FRI,3186
ORD-STC,FRI,144
ORD-STL,FRI,5482
ORD-SYR,FRI,2891
ORD-TPA,FRI,6912
ORD-ANC,FRI,1099
ORD-CID,FRI,4125
ORD-PVD,FRI,1039
ORD-TOL,FRI,1366
ORD-TTN,FRI,240
ORD-TUS,FRI,1411
ORD-TUL,FRI,4111
ORD-SCE,FRI,1773
ORD-CMI,FRI,2623
ORD-IAD,FRI,4981
ORD-ALO,FRI,1209
ORD-HPN,FRI,2671
ORD-ICT,FRI,4791
ORD-AVP,FRI,1141
ORD-OKC,FRI,4934
ORD-CRW,FRI,1161
DFW-ABI,FRI,2885
DFW-SPI,FRI,1140
DFW-ABQ,FRI,3325
DFW-AEX,FRI,1634
DFW-ASE,FRI,1645
DFW-AUS,FRI,9296
DFW-BWI,FRI,4262
DFW-BTR,FRI,5222
DFW-LIT,FRI,2405
DFW-BHM,FRI,1144
DFW-BIS,FRI,582
DFW-LEX,FRI,1863
DFW-BDL,FRI,727
DFW-BRO,FRI,2307
DFW-BMI,FRI,729
DFW-GRI,FRI,1056
DFW-CHS,FRI,676
DFW-CLT,FRI,5451
DFW-ORD,FRI,21302
DFW-CVG,FRI,6004
DFW-COS,FRI,1864
DFW-CLE,FRI,2900
DFW-CAE,FRI,2279
DFW-COU,FRI,1749
DFW-CRP,FRI,3703
DFW-MSN,FRI,1744
DFW-HNL,FRI,4151
DFW-DEN,FRI,14013
DFW-DSM,FRI,1630
DFW-VPS,FRI,3614
DFW-DTW,FRI,6929
DFW-DRO,FRI,862
DFW-EGE,FRI,972
DFW-GGG,FRI,724
DFW-CLL,FRI,2359
DFW-ELP,FRI,2631
DFW-OMA,FRI,2071
DFW-EVV,FRI,153
DFW-FLL,FRI,7468
DFW-FSM,FRI,2207
DFW-FWA,FRI,1036
DFW-FAT,FRI,654
DFW-GCK,FRI,669
DFW-BOS,FRI,5432
DFW-MKE,FRI,1833
DFW-PIA,FRI,971
DFW-IAH,FRI,11584
DFW-GRR,FRI,1606
DFW-GJT,FRI,985
DFW-GSP,FRI,1121
DFW-GPT,FRI,1784
DFW-GUC,FRI,399
DFW-ATL,FRI,15881
DFW-FAR,FRI,620
DFW-HSV,FRI,190
DFW-IND,FRI,2971
DFW-JAC,FRI,680
DFW-JAN,FRI,3550
DFW-JAX,FRI,2170
DFW-DAY,FRI,1857
DFW-FSD,FRI,861
DFW-JFK,FRI,1224
DFW-CMH,FRI,3069
DFW-SNA,FRI,4300
DFW-JLN,FRI,1431
DFW-OGG,FRI,2021
DFW-MCI,FRI,4746
DFW-MEI,FRI,1382
DFW-LGA,FRI,8630
DFW-LFT,FRI,2659
DFW-LCH,FRI,2038
DFW-LRD,FRI,2419
DFW-LAW,FRI,1731
DFW-LAX,FRI,17288
DFW-MSY,FRI,4030
DFW-SDF,FRI,449
DFW-CHA,FRI,2232
DFW-LBB,FRI,925
DFW-MHK,FRI,1294
DFW-MFE,FRI,2360
DFW-LAS,FRI,10208
DFW-TYS,FRI,4781
DFW-MEM,FRI,2483
DFW-OAK,FRI,18
DFW-MIA,FRI,9427
DFW-MAF,FRI,1994
DFW-MSP,FRI,5891
DFW-MOB,FRI,1759
DFW-MLU,FRI,1760
DFW-MGM,FRI,1652
DFW-MTJ,FRI,102
DFW-BNA,FRI,4763
DFW-EWR,FRI,6399
DFW-ORF,FRI,1085
DFW-SJC,FRI,2117
DFW-XNA,FRI,4719
DFW-ONT,FRI,2333
DFW-MCO,FRI,8039
DFW-PBI,FRI,1025
DFW-PSP,FRI,1575
DFW-PNS,FRI,3163
DFW-PHL,FRI,7029
DFW-PHX,FRI,9119
DFW-GSO,FRI,2187
DFW-PIT,FRI,1756
DFW-PDX,FRI,2128
DFW-MLI,FRI,1319
DFW-RDU,FRI,2713
DFW-RAP,FRI,853
DFW-RNO,FRI,1213
DFW-RIC,FRI,1010
DFW-AMA,FRI,1736
DFW-GRK,FRI,4364
DFW-DCA,FRI,6333
DFW-ROW,FRI,1053
DFW-SMF,FRI,2215
DFW-SLC,FRI,6782
DFW-SJT,FRI,2381
DFW-SAT,FRI,9370
DFW-SAN,FRI,8518
DFW-SFO,FRI,12844
DFW-SAF,FRI,1319
DFW-SAV,FRI,1397
DFW-SEA,FRI,4432
DFW-SPS,FRI,1575
DFW-SHV,FRI,5151
DFW-BPT,FRI,2316
DFW-RSW,FRI,2256
DFW-SGF,FRI,4431
DFW-STL,FRI,3831
DFW-TLH,FRI,2574
DFW-TPA,FRI,5042
DFW-ANC,FRI,162
DFW-TXK,FRI,1327
DFW-CID,FRI,2474
DFW-TUS,FRI,4127
DFW-TUL,FRI,5807
DFW-TYR,FRI,3361
DFW-CMI,FRI,777
DFW-ACT,FRI,3420
DFW-IAD,FRI,1835
DFW-ICT,FRI,1010
DFW-OKC,FRI,6071
DFW-HOU,FRI,3282
DFW-HDN,FRI,204
DFW-CRW,FRI,643
DAL-ABQ,FRI,3700
DAL-AUS,FRI,8807
DAL-BWI,FRI,2780
DAL-LIT,FRI,2204
DAL-BHM,FRI,1077
DAL-CHS,FRI,339
DAL-CLT,FRI,366
DAL-MDW,FRI,4197
DAL-DEN,FRI,2834
DAL-DTW,FRI,626
DAL-ELP,FRI,2947
DAL-OMA,FRI,39
DAL-FLL,FRI,1970
DAL-BOS,FRI,106
DAL-MKE,FRI,217
DAL-IAH,FRI,636
DAL-ATL,FRI,4853
DAL-IND,FRI,663
DAL-CMH,FRI,614
DAL-SNA,FRI,842
DAL-MCI,FRI,5023
DAL-LGA,FRI,8700
DAL-LAX,FRI,7387
DAL-MSY,FRI,3892
DAL-LBB,FRI,2546
DAL-LAS,FRI,1737
DAL-MEM,FRI,1065
DAL-OAK,FRI,916
DAL-MAF,FRI,3497
DAL-BNA,FRI,1976
DAL-SJC,FRI,688
DAL-ECP,FRI,257
DAL-MCO,FRI,1791
DAL-PHL,FRI,341
DAL-PHX,FRI,3362
DAL-PIT,FRI,150
DAL-PDX,FRI,370
DAL-RDU,FRI,348
DAL-AMA,FRI,2364
DAL-DCA,FRI,5271
DAL-SMF,FRI,859
DAL-SLC,FRI,456
DAL-SAT,FRI,5809
DAL-SAN,FRI,868
DAL-SFO,FRI,5286
DAL-SEA,FRI,1099
DAL-STL,FRI,3838
DAL-TPA,FRI,1909
DAL-TUL,FRI,2235
DAL-ICT,FRI,1045
DAL-OKC,FRI,1092
DAL-HOU,FRI,14096
DEN-CAK,FRI,226
DEN-ABQ,FRI,2661
DEN-ASE,FRI,1750
DEN-AUS,FRI,4974
DEN-BWI,FRI,3484
DEN-LIT,FRI,1204
DEN-BIL,FRI,2014
DEN-BHM,FRI,331
DEN-BIS,FRI,1500
DEN-BUR,FRI,1879
DEN-BOI,FRI,2846
DEN-BDL,FRI,102
DEN-CPR,FRI,1707
DEN-CLT,FRI,2349
DEN-MDW,FRI,3275
DEN-ORD,FRI,12997
DEN-CVG,FRI,2855
DEN-COS,FRI,4215
DEN-CLE,FRI,2125
DEN-DFW,FRI,13981
DEN-DAL,FRI,3385
DEN-MSN,FRI,1337
DEN-HNL,FRI,796
DEN-DSM,FRI,2043
DEN-DTW,FRI,5036
DEN-DIK,FRI,485
DEN-DRO,FRI,647
DEN-EGE,FRI,0
DEN-ELP,FRI,1518
DEN-KOA,FRI,16
DEN-OMA,FRI,3880
DEN-FLL,FRI,1324
DEN-FAT,FRI,1712
DEN-SUN,FRI,267
DEN-BZN,FRI,876
DEN-BOS,FRI,4452
DEN-MKE,FRI,4085
DEN-PIA,FRI,73
DEN-IAH,FRI,10755
DEN-GRR,FRI,700
DEN-GCC,FRI,781
DEN-FCA,FRI,1242
DEN-GJT,FRI,468
DEN-GTF,FRI,1078
DEN-GUC,FRI,650
DEN-MDT,FRI,0
DEN-ATL,FRI,9438
DEN-HYS,FRI,183
DEN-FAR,FRI,1941
DEN-HLN,FRI,792
DEN-HSV,FRI,699
DEN-IDA,FRI,1630
DEN-IND,FRI,2915
DEN-JAC,FRI,1316
DEN-JAX,FRI,903
DEN-DAY,FRI,1400
DEN-JMS,FRI,1332
DEN-FSD,FRI,2706
DEN-JFK,FRI,1551
DEN-CMH,FRI,1122
DEN-SNA,FRI,3500
DEN-OGG,FRI,500
DEN-MCI,FRI,2631
DEN-LGA,FRI,8699
DEN-LFT,FRI,224
DEN-LAR,FRI,764
DEN-LIH,FRI,26
DEN-LNK,FRI,1016
DEN-LAX,FRI,11287
DEN-MSY,FRI,2177
DEN-SDF,FRI,938
DEN-LBB,FRI,969
DEN-EUG,FRI,825
DEN-LAS,FRI,11476
DEN-TYS,FRI,238
DEN-BFL,FRI,1350
DEN-MEM,FRI,1368
DEN-OAK,FRI,1658
DEN-MIA,FRI,2988
DEN-MAF,FRI,824
DEN-MSP,FRI,8485
DEN-MOT,FRI,964
DEN-MSO,FRI,855
DEN-MTJ,FRI,658
DEN-BNA,FRI,3413
DEN-EWR,FRI,4754
DEN-SJC,FRI,2186
DEN-XNA,FRI,716
DEN-ONT,FRI,1548
DEN-MCO,FRI,4317
DEN-PBI,FRI,170
DEN-PSP,FRI,1754
DEN-PHL,FRI,4141
DEN-PHX,FRI,11748
DEN-GSO,FRI,248
DEN-PIT,FRI,1275
DEN-PDX,FRI,4597
DEN-PUB,FRI,679
DEN-MLI,FRI,271
DEN-RDU,FRI,1099
DEN-RAP,FRI,822
DEN-RNO,FRI,2322
DEN-AMA,FRI,727
DEN-RDM,FRI,921
DEN-MFR,FRI,1332
DEN-DCA,FRI,1590
DEN-SMF,FRI,3647
DEN-SLC,FRI,7904
DEN-SAT,FRI,2962
DEN-SAN,FRI,5756
DEN-SFO,FRI,12919
DEN-SBA,FRI,1307
DEN-SAF,FRI,462
DEN-SEA,FRI,7357
DEN-SHV,FRI,808
DEN-ISN,FRI,1260
DEN-RSW,FRI,181
DEN-RKS,FRI,868
DEN-GEG,FRI,1901
