ROUTE,DAY,DELAY
MDW-BUF (Chicago Midway International  to Buffalo Niagara International ),FRI,1065
MDW-CHS (Chicago Midway International  to Charleston Air Force Base-International ),FRI,384
MDW-CLT (Chicago Midway International  to Charlotte Douglas International ),FRI,1251
MDW-CLE (Chicago Midway International  to Cleveland Hopkins International ),FRI,2457
MDW-DAL (Chicago Midway International  to Dallas Love Field),FRI,3820
MDW-DEN (Chicago Midway International  to Denver International ),FRI,3123
MDW-DSM (Chicago Midway International  to Des Moines International ),FRI,1080
MDW-DTW (Chicago Midway International  to Detroit Metropolitan Wayne County ),FRI,4229
MDW-OMA (Chicago Midway International  to Eppley Airfield),FRI,2424
MDW-FLL (Chicago Midway International  to Fort Lauderdale Hollywood International ),FRI,1990
MDW-BOS (Chicago Midway International  to General Edward Lawrence Logan International ),FRI,2671
MDW-ROC (Chicago Midway International  to Greater Rochester International ),FRI,1085
MDW-GSP (Chicago Midway International  to Greenville Spartanburg International ),FRI,808
MDW-ATL (Chicago Midway International  to Hartsfield Jackson Atlanta International ),FRI,5872
MDW-JAX (Chicago Midway International  to Jacksonville International ),FRI,255
MDW-CMH (Chicago Midway International  to John Glenn Columbus International ),FRI,2743
MDW-SNA (Chicago Midway International  to John Wayne -Orange County ),FRI,172
MDW-MCI (Chicago Midway International  to Kansas City International ),FRI,2888
MDW-LGA (Chicago Midway International  to La Guardia ),FRI,7385
MDW-LAX (Chicago Midway International  to Los Angeles International ),FRI,2816
MDW-MSY (Chicago Midway International  to Louis Armstrong New Orleans International ),FRI,1635
MDW-SDF (Chicago Midway International  to Louisville International Standiford Field),FRI,1761
MDW-MHT (Chicago Midway International  to Manchester-Boston Regional ),FRI,1174
MDW-LAS (Chicago Midway International  to McCarran International ),FRI,4114
MDW-MEM (Chicago Midway International  to Memphis International ),FRI,1024
MDW-OAK (Chicago Midway International  to Metropolitan Oakland International ),FRI,1459
MDW-MSP (Chicago Midway International  to Minneapolis-St Paul International/Wold-Chamberlain ),FRI,5280
MDW-BNA (Chicago Midway International  to Nashville International ),FRI,2815
MDW-EWR (Chicago Midway International  to Newark Liberty International ),FRI,4225
MDW-ORF (Chicago Midway International  to Norfolk International ),FRI,764
MDW-SJC (Chicago Midway International  to Norman Y. Mineta San Jose International ),FRI,813
MDW-ONT (Chicago Midway International  to Ontario International ),FRI,405
MDW-MCO (Chicago Midway International  to Orlando International ),FRI,3564
MDW-PHL (Chicago Midway International  to Philadelphia International ),FRI,3769
MDW-PHX (Chicago Midway International  to Phoenix Sky Harbor International ),FRI,3431
MDW-PIT (Chicago Midway International  to Pittsburgh International ),FRI,2556
MDW-PDX (Chicago Midway International  to Portland International ),FRI,978
MDW-RDU (Chicago Midway International  to Raleigh Durham International ),FRI,1081
MDW-RNO (Chicago Midway International  to Reno Tahoe International ),FRI,284
MDW-DCA (Chicago Midway International  to Ronald Reagan Washington National ),FRI,3582
MDW-SMF (Chicago Midway International  to Sacramento International ),FRI,658
MDW-SLC (Chicago Midway International  to Salt Lake City International ),FRI,700
MDW-SAT (Chicago Midway International  to San Antonio International ),FRI,877
MDW-SAN (Chicago Midway International  to San Diego International ),FRI,1649
MDW-SFO (Chicago Midway International  to San Francisco International ),FRI,1557
MDW-SEA (Chicago Midway International  to Seattle Tacoma International ),FRI,1752
MDW-RSW (Chicago Midway International  to Southwest Florida International ),FRI,1439
MDW-GEG (Chicago Midway International  to Spokane International ),FRI,109
MDW-STL (Chicago Midway International  to St Louis Lambert International ),FRI,3403
MDW-TPA (Chicago Midway International  to Tampa International ),FRI,1570
MDW-PVD (Chicago Midway International  to Theodore Francis Green State ),FRI,1025
MDW-TTN (Chicago Midway International  to Trenton Mercer ),FRI,15
MDW-TUS (Chicago Midway International  to Tucson International ),FRI,675
MDW-TUL (Chicago Midway International  to Tulsa International ),FRI,526
MDW-IAD (Chicago Midway International  to Washington Dulles International ),FRI,813
MDW-ICT (Chicago Midway International  to Wichita Eisenhower National ),FRI,1268
MDW-OKC (Chicago Midway International  to Will Rogers World ),FRI,167
MDW-HOU (Chicago Midway International  to William P Hobby ),FRI,3246
ORD-SPI (Chicago OHare International  to Abraham Lincoln Capital ),FRI,1310
ORD-CAK (Chicago OHare International  to Akron Canton Regional ),FRI,1714
ORD-ALB (Chicago OHare International  to Albany International ),FRI,2355
ORD-ABQ (Chicago OHare International  to Albuquerque International Sunport),FRI,952
ORD-ATW (Chicago OHare International  to Appleton International ),FRI,1567
ORD-LBE (Chicago OHare International  to Arnold Palmer Regional ),FRI,819
ORD-AVL (Chicago OHare International  to Asheville Regional ),FRI,1640
ORD-ASE (Chicago OHare International  to Aspen-Pitkin Co/Sardy Field),FRI,1643
ORD-ACY (Chicago OHare International  to Atlantic City International ),FRI,486
ORD-AUS (Chicago OHare International  to Austin Bergstrom International ),FRI,5735
ORD-GRB (Chicago OHare International  to Austin Straubel International ),FRI,3664
ORD-BWI (Chicago OHare International  to Baltimore/Washington International Thurgood Marshall ),FRI,5471
ORD-PAH (Chicago OHare International  to Barkley Regional ),FRI,984
ORD-LIT (Chicago OHare International  to Bill & Hillary Clinton National /Adams Field),FRI,4630
ORD-BIL (Chicago OHare International  to Billings Logan International ),FRI,62
ORD-BHM (Chicago OHare International  to Birmingham-Shuttlesworth International ),FRI,1637
ORD-FNT (Chicago OHare International  to Bishop International ),FRI,2341
ORD-BIS (Chicago OHare International  to Bismarck Municipal ),FRI,203
ORD-LEX (Chicago OHare International  to Blue Grass ),FRI,2775
ORD-BOI (Chicago OHare International  to Boise Air Terminal/Gowen Field),FRI,1006
ORD-BDL (Chicago OHare International  to Bradley International ),FRI,3420
ORD-BUF (Chicago OHare International  to Buffalo Niagara International ),FRI,3653
ORD-BTV (Chicago OHare International  to Burlington International ),FRI,828
ORD-LAN (Chicago OHare International  to Capital City ),FRI,1106
ORD-BMI (Chicago OHare International  to Central Illinois Regional  at Bloomington-Normal),FRI,1390
ORD-CWA (Chicago OHare International  to Central Wisconsin ),FRI,2903
ORD-CHS (Chicago OHare International  to Charleston Air Force Base-International ),FRI,753
ORD-CLT (Chicago OHare International  to Charlotte Douglas International ),FRI,6659
ORD-CHO (Chicago OHare International  to Charlottesville Albemarle ),FRI,2626
ORD-TVC (Chicago OHare International  to Cherry Capital ),FRI,2885
ORD-EAU (Chicago OHare International  to Chippewa Valley Regional ),FRI,473
ORD-CVG (Chicago OHare International  to Cincinnati Northern Kentucky International ),FRI,7882
ORD-COS (Chicago OHare International  to City of Colorado Springs Municipal ),FRI,2492
ORD-CLE (Chicago OHare International  to Cleveland Hopkins International ),FRI,7571
ORD-CAE (Chicago OHare International  to Columbia Metropolitan ),FRI,772
ORD-COU (Chicago OHare International  to Columbia Regional ),FRI,1739
ORD-DFW (Chicago OHare International  to Dallas Fort Worth International ),FRI,22041
ORD-MSN (Chicago OHare International  to Dane County Regional Truax Field),FRI,4060
ORD-HNL (Chicago OHare International  to Daniel K Inouye International ),FRI,856
ORD-DEN (Chicago OHare International  to Denver International ),FRI,16964
ORD-DSM (Chicago OHare International  to Des Moines International ),FRI,7021
ORD-DTW (Chicago OHare International  to Detroit Metropolitan Wayne County ),FRI,8215
ORD-DBQ (Chicago OHare International  to Dubuque Regional ),FRI,1274
ORD-DLH (Chicago OHare International  to Duluth International ),FRI,1582
ORD-EGE (Chicago OHare International  to Eagle County Regional ),FRI,0
ORD-ELP (Chicago OHare International  to El Paso International ),FRI,1342
